1000000,3000,100,40,32,32,1,0.782,2.800, 210.979
1000000,3000,100,80,32,32,1,0.878,4.060, 207.234
1000000,3000,100,150,32,32,1,0.924,6.185, 209.697
1000000,3000,100,40,32,32,10,0.782,2.739, 206.250
1000000,3000,100,80,32,32,10,0.878,4.198, 210.391
1000000,3000,100,150,32,32,10,0.924,6.195, 219.711
1000000,3000,100,40,64,64,1,0.919,4.084, 205.795
1000000,3000,100,80,64,64,1,0.957,6.276, 209.916
1000000,3000,100,150,64,64,1,0.975,11.641, 219.657
1000000,3000,100,40,64,64,10,0.919,5.838, 210.379
1000000,3000,100,80,64,64,10,0.957,6.279, 209.913
1000000,3000,100,150,64,64,10,0.975,12.027, 224.272
